Time (s),Average
3.6045,-3.07E-03
3.618,-1.30E-04
3.6315,-9.88E-04
3.645,5.38E-03
3.6585,-3.84E-03
3.672,6.18E-03
3.6855,6.73E-03
3.699,5.18E-03
3.7125,-1.89E-03
3.726,-5.13E-03
3.7395,-9.92E-03
3.753,-8.60E-03
3.7665,-7.64E-03
3.78,-4.67E-03
3.7935,-2.57E-03
3.807,-7.94E-04
3.8205,1.59E-03
3.834,1.77E-03
3.8475,5.16E-04
3.861,2.50E-04
3.8745,1.38E-03
3.888,2.69E-03
3.9015,3.30E-03
3.915,3.00E-03
3.9285,1.88E-03
3.942,1.14E-03
3.9555,-7.26E-05
3.969,-3.00E-04
3.9825,1.63E-05
3.996,-5.61E-03
4.0095,-1.09E-02
4.023,-1.06E-02
4.0365,-7.65E-03
